"SchemeCode","CritCode"
"200,326","7,106"
"200,326","7,107"
"200,326","7,108"
"200,326","7,109"
"200,326","7,111"
"200,326","7,112"
"200,326","8,102"
"200,326","8,104"
"200,326","8,105"
"200,326","8,106"
"200,328",38
"200,328","4,000"
"200,328","5,000"
"200,328","6,101"
"200,328","6,103"
"200,328","6,105"
"200,328","6,600"
"200,328","7,100"
"200,328","8,100"
"200,328","8,103"
"200,329",23
"200,329","4,000"
"200,329","5,005"
"200,329","5,024"
"200,329","5,025"
"200,329","5,043"
"200,329","5,044"
"200,329","5,074"
"200,329","5,167"
"200,329","5,184"
"200,329","5,196"
"200,329","5,214"
"200,329","5,245"
"200,329","6,101"
"200,329","6,103"
"200,329","6,105"
"200,329","6,106"
"200,329","6,107"
"200,329","6,108"
"200,329","6,109"
"200,329","6,110"
"200,329","6,111"
"200,329","6,112"
"200,329","6,113"
"200,329","6,114"
"200,329","6,600"
"200,329","7,100"
"200,329","8,100"
"200,331",3
"200,331","4,000"
"200,331","5,005"
"200,331","5,024"
"200,331","5,025"
"200,331","5,043"
"200,331","5,044"
"200,331","5,196"
"200,331","5,245"
"200,331","6,101"
"200,331","6,103"
"200,331","6,106"
"200,331","6,107"
"200,331","6,113"
"200,331","6,114"
"200,331","6,600"
"200,331","7,100"
"200,331","8,100"
"200,335",43
"200,335","4,000"
"200,335","5,005"
"200,335","5,024"
"200,335","5,025"
"200,335","5,043"
"200,335","5,044"
"200,335","5,074"
"200,335","5,167"
"200,335","5,196"
"200,335","5,245"
"200,335","6,101"
"200,335","6,103"
"200,335","6,105"
"200,335","6,106"
"200,335","6,107"
"200,335","6,108"
"200,335","6,109"
"200,335","6,110"
"200,335","6,111"
"200,335","6,112"
"200,335","6,113"
"200,335","6,114"
"200,335","6,600"
"200,335","7,100"
"200,335","8,100"
"200,336",61
"200,336","4,000"
"200,336","5,000"
"200,336","6,101"
"200,336","6,103"
"200,336","6,105"
"200,336","6,106"
"200,336","6,107"
"200,336","6,108"
"200,336","6,109"
"200,336","6,110"
"200,336","6,111"
"200,336","6,112"
"200,336","6,113"
"200,336","6,114"
"200,336","6,600"
"200,336","7,100"
"200,336","8,100"
"200,341",30
"200,341","4,000"
"200,341","5,000"
"200,341","5,043"
"200,341","5,074"
"200,341","6,103"
"200,341","6,601"
"200,341","6,602"
"200,341","6,603"
"200,341","7,100"
"200,341","8,100"
"200,346",62
"200,346","4,021"
"200,346","4,045"
"200,346","4,181"
"200,346","4,184"
"200,346","4,188"
"200,346","4,195"
"200,346","5,025"
"200,346","5,062"
"200,346","5,074"
"200,346","5,077"
"200,346","5,167"
"200,346","5,194"
"200,346","5,195"
"200,346","5,210"
"200,348",70
"200,348","4,000"
"200,348","5,025"
"200,351",60
"200,351","4,016"
"200,351","5,025"
"200,353",60
"200,353","4,000"
"200,353","5,024"
"200,353","5,025"
"200,353","5,196"
"200,353","5,245"
"200,353","6,102"
"200,353","6,601"
"200,353","7,100"
"200,353","8,104"
"200,357",3
"200,357",4
"200,357",13
"200,357",14
"200,357",15
"200,357",20
"200,357",25
"200,357",27
"200,357",30
"200,357",33
"200,357",38
"200,357",42
"200,357",46
"200,357",51
"200,357",57
"200,357",58
"200,357",59
"200,357",62
"200,357",67
"200,357",72
"200,357",74
"200,357",75
"200,357","4,000"
"200,357","5,025"
"200,357","5,043"
"200,357","5,167"
"200,358",47
"200,358","4,000"
"200,358","4,003"
"200,358","4,045"
"200,358","5,005"
"200,358","5,024"
"200,358","5,025"
"200,358","5,026"
"200,358","5,027"
"200,358","5,043"
"200,358","5,044"
"200,358","5,045"
"200,358","5,046"
"200,358","5,074"
"200,358","5,164"
"200,358","5,185"
"200,358","5,192"
"200,358","5,195"
"200,359",1
"200,359","4,174"
"200,359","5,183"
"200,374",28
"200,374",43
"200,374",61
"200,374",71
"200,374","4,000"
"200,374","5,000"
"200,374","5,133"
"200,374","5,235"
"200,376",33
"200,376","4,000"
"200,376","5,000"
"200,376","6,101"
"200,376","6,103"
"200,376","6,601"
"200,376","6,602"
"200,376","7,100"
"200,376","8,100"
"200,377",2
"200,377",10
